station,valid,tmpf,dwpf,relh,feel
DFW,2020-01-01 00:00,,,,
DFW,2020-01-01 00:05,,,,
DFW,2020-01-01 00:10,,,,
DFW,2020-01-01 00:15,,,,
DFW,2020-01-01 00:20,,,,
DFW,2020-01-01 00:25,,,,
DFW,2020-01-01 00:30,,,,
DFW,2020-01-01 00:35,,,,
DFW,2020-01-01 00:40,,,,
DFW,2020-01-01 00:45,,,,
DFW,2020-01-01 00:50,,,,
DFW,2020-01-01 00:53,46.90,24.10,40.44,44.09
DFW,2020-01-01 00:55,,,,
DFW,2020-01-01 01:00,,,,
DFW,2020-01-01 01:05,,,,
DFW,2020-01-01 01:10,,,,
DFW,2020-01-01 01:15,,,,
DFW,2020-01-01 01:20,,,,
DFW,2020-01-01 01:25,,,,
DFW,2020-01-01 01:30,,,,
DFW,2020-01-01 01:35,,,,
DFW,2020-01-01 01:40,,,,
DFW,2020-01-01 01:45,,,,
DFW,2020-01-01 01:50,,,,
DFW,2020-01-01 01:53,46.90,23.00,38.62,45.72
DFW,2020-01-01 01:55,,,,
DFW,2020-01-01 02:00,,,,
DFW,2020-01-01 02:05,,,,
DFW,2020-01-01 02:10,,,,
DFW,2020-01-01 02:15,,,,
DFW,2020-01-01 02:20,,,,
DFW,2020-01-01 02:25,,,,
DFW,2020-01-01 02:30,,,,
DFW,2020-01-01 02:35,,,,
DFW,2020-01-01 02:40,,,,
DFW,2020-01-01 02:45,,,,
DFW,2020-01-01 02:50,,,,
DFW,2020-01-01 02:53,45.00,23.00,41.50,43.55
DFW,2020-01-01 02:55,,,,
DFW,2020-01-01 03:00,,,,
DFW,2020-01-01 03:05,,,,
DFW,2020-01-01 03:10,,,,
DFW,2020-01-01 03:15,,,,
DFW,2020-01-01 03:20,,,,
DFW,2020-01-01 03:25,,,,
DFW,2020-01-01 03:30,,,,
DFW,2020-01-01 03:35,,,,
DFW,2020-01-01 03:40,,,,
DFW,2020-01-01 03:45,,,,
DFW,2020-01-01 03:50,,,,
DFW,2020-01-01 03:53,43.00,25.00,48.70,40.27
DFW,2020-01-01 03:55,,,,
DFW,2020-01-01 04:00,,,,
DFW,2020-01-01 04:05,,,,
DFW,2020-01-01 04:10,,,,
DFW,2020-01-01 04:15,,,,
DFW,2020-01-01 04:20,,,,
DFW,2020-01-01 04:25,,,,
DFW,2020-01-01 04:30,,,,
DFW,2020-01-01 04:35,,,,
DFW,2020-01-01 04:40,,,,
DFW,2020-01-01 04:45,,,,
DFW,2020-01-01 04:50,,,,
DFW,2020-01-01 04:53,42.10,27.00,54.78,37.69
DFW,2020-01-01 04:55,,,,
DFW,2020-01-01 05:00,,,,
DFW,2020-01-01 05:05,,,,
DFW,2020-01-01 05:10,,,,
DFW,2020-01-01 05:15,,,,
DFW,2020-01-01 05:20,,,,
DFW,2020-01-01 05:25,,,,
DFW,2020-01-01 05:30,,,,
DFW,2020-01-01 05:35,,,,
DFW,2020-01-01 05:40,,,,
DFW,2020-01-01 05:45,,,,
DFW,2020-01-01 05:50,,,,
DFW,2020-01-01 05:53,43.00,27.00,52.91,39.46
DFW,2020-01-01 05:55,,,,
DFW,2020-01-01 06:00,,,,
DFW,2020-01-01 06:05,,,,
DFW,2020-01-01 06:10,,,,
DFW,2020-01-01 06:15,,,,
DFW,2020-01-01 06:20,,,,
DFW,2020-01-01 06:25,,,,
DFW,2020-01-01 06:30,,,,
DFW,2020-01-01 06:35,,,,
DFW,2020-01-01 06:40,,,,
DFW,2020-01-01 06:45,,,,
DFW,2020-01-01 06:50,,,,
DFW,2020-01-01 06:53,42.10,26.10,52.78,38.39
DFW,2020-01-01 06:55,,,,
DFW,2020-01-01 07:00,,,,
DFW,2020-01-01 07:05,,,,
DFW,2020-01-01 07:10,,,,
DFW,2020-01-01 07:15,,,,
DFW,2020-01-01 07:20,,,,
DFW,2020-01-01 07:25,,,,
DFW,2020-01-01 07:30,,,,
DFW,2020-01-01 07:35,,,,
DFW,2020-01-01 07:40,,,,
DFW,2020-01-01 07:45,,,,
