,station,valid,tmpf,dwpf,relh,feel
11,DFW,2020-01-01 00:53,46.9,24.1,40.44,44.09
24,DFW,2020-01-01 01:53,46.9,23.0,38.62,45.72
37,DFW,2020-01-01 02:53,45.0,23.0,41.5,43.55
50,DFW,2020-01-01 03:53,43.0,25.0,48.7,40.27
63,DFW,2020-01-01 04:53,42.1,27.0,54.78,37.69
76,DFW,2020-01-01 05:53,43.0,27.0,52.91,39.46
89,DFW,2020-01-01 06:53,42.1,26.1,52.78,38.39
102,DFW,2020-01-01 07:53,42.1,25.0,50.42,37.09
115,DFW,2020-01-01 08:53,43.0,24.1,46.91,38.19
128,DFW,2020-01-01 09:53,42.1,26.1,52.78,37.69
141,DFW,2020-01-01 10:53,42.1,26.1,52.78,36.55
154,DFW,2020-01-01 11:53,43.0,26.1,50.98,37.66
167,DFW,2020-01-01 12:53,44.1,25.0,46.7,39.53
180,DFW,2020-01-01 13:53,45.0,26.1,47.23,40.63
193,DFW,2020-01-01 14:53,46.9,27.0,45.62,42.94
206,DFW,2020-01-01 15:53,48.0,28.9,47.32,43.41
219,DFW,2020-01-01 16:53,51.1,28.9,42.16,
232,DFW,2020-01-01 17:53,52.0,30.0,42.65,
245,DFW,2020-01-01 18:53,54.0,30.9,41.11,
258,DFW,2020-01-01 19:53,55.0,32.0,41.44,
271,DFW,2020-01-01 20:53,55.9,34.0,43.46,
284,DFW,2020-01-01 21:53,55.9,39.9,54.83,
297,DFW,2020-01-01 22:53,55.0,39.9,56.66,
310,DFW,2020-01-01 23:53,54.0,37.9,54.34,
323,DFW,2020-01-02 00:53,53.1,37.9,56.17,
336,DFW,2020-01-02 01:53,52.0,39.0,61.06,
349,DFW,2020-01-02 02:53,53.1,39.9,60.73,
362,DFW,2020-01-02 03:53,53.1,42.1,66.13,
375,DFW,2020-01-02 04:53,53.1,42.1,66.13,
388,DFW,2020-01-02 05:53,52.0,42.1,68.86,
401,DFW,2020-01-02 06:53,52.0,43.0,71.28,
414,DFW,2020-01-02 07:53,52.0,44.1,74.35,
427,DFW,2020-01-02 08:53,52.0,44.1,74.35,
440,DFW,2020-01-02 09:53,52.0,45.0,76.94,
453,DFW,2020-01-02 10:53,52.0,45.0,76.94,
466,DFW,2020-01-02 11:53,52.0,46.0,79.92,
479,DFW,2020-01-02 12:53,51.1,46.0,82.62,
492,DFW,2020-01-02 13:53,52.0,46.9,82.68,
505,DFW,2020-01-02 14:53,53.1,46.9,79.4,
517,DFW,2020-01-02 15:53,54.0,46.9,76.83,
530,DFW,2020-01-02 16:53,57.0,46.9,68.9,
543,DFW,2020-01-02 17:53,59.0,48.0,66.83,
556,DFW,2020-01-02 18:53,60.1,48.0,64.26,
569,DFW,2020-01-02 19:53,60.1,48.0,64.26,
582,DFW,2020-01-02 20:53,60.1,48.0,64.26,
595,DFW,2020-01-02 21:53,60.1,48.9,66.46,
608,DFW,2020-01-02 22:53,59.0,48.9,69.12,
621,DFW,2020-01-02 23:53,55.9,48.9,77.28,
634,DFW,2020-01-03 00:53,55.0,48.9,79.85,
647,DFW,2020-01-03 01:53,52.0,48.9,89.13,
660,DFW,2020-01-03 02:53,50.0,48.0,92.8,47.77
673,DFW,2020-01-03 03:53,50.0,48.0,92.8,47.77
686,DFW,2020-01-03 04:53,48.0,46.9,95.95,46.98
699,DFW,2020-01-03 05:53,48.0,46.9,95.95,44.8
705,DFW,2020-01-03 06:18,46.0,45.0,96.28,44.69
707,DFW,2020-01-03 06:24,46.0,45.0,96.28,44.69
710,DFW,2020-01-03 06:31,46.0,44.1,93.03,44.69
712,DFW,2020-01-03 06:38,46.9,46.0,96.66,44.82
716,DFW,2020-01-03 06:53,46.0,45.0,96.28,41.84
729,DFW,2020-01-03 07:53,48.0,45.0,89.29,44.28
